split,label,count,is_se,label_id
test,0,50,1,-1
test,1,50,1,-1
test,2,11,1,-1
test,3,16,1,-1
test,4,11,1,-1
test,5,37,1,-1
test,6,31,1,-1
test,7,12,1,-1
test,8,14,1,-1
test,9,9,1,-1
test,10,16,1,-1
test,11,34,1,-1
train,0,239,1,-1
train,1,239,1,-1
train,2,56,1,-1
train,3,81,1,-1
train,4,57,1,-1
train,5,175,1,-1
train,6,151,1,-1
train,7,56,1,-1
train,8,71,1,-1
train,9,43,1,-1
train,10,81,1,-1
train,11,164,1,-1
validation,0,50,1,-1
validation,1,50,1,-1
validation,2,11,1,-1
validation,3,16,1,-1
validation,4,11,1,-1
validation,5,37,1,-1
validation,6,31,1,-1
validation,7,12,1,-1
validation,8,14,1,-1
validation,9,9,1,-1
validation,10,16,1,-1
validation,11,34,1,-1
